name,sale,lot,position,dealer,year,origin_author,origin_cat,school_pntg,diff_origin,logprice,price,count,subject,authorstandard,artistliving,authorstyle,author,winningbidder,winningbiddertype,endbuyer,Interm,type_intermed,Height_in,Width_in,Surface_Rect,Diam_in,Surface_Rnd,Shape,Surface,material,mat,materialCat,quantity,nfigures,engraved,original,prevcoll,othartist,paired,figures,finished,lrgfont,relig,landsALL,lands_sc,lands_elem,lands_figs,lands_ment,arch,mytho,peasant,othgenre,singlefig,portrait,still_life,discauth,history,allegory,pastorale,other
L1764-9b,L1764,9,0.147540984,L,1764,D/FL,O,D/FL,1,1.791759469,6,1,(2) Ttes de Vieillards marchant; tenant un pot,"Rijckaert III, David",0,n/a,Rikaers,Unknown,,,,,9,7,63,,,squ_rect,63,bois,b,wood,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
L1764-10a,L1764,10,0.163934426,L,1764,X,O,X,1,0.287681822,1.3,1,(3) Deux ttes d'Hommes; Paysage & Ruine,Anonymous,0,n/a,not specified,Unknown,,,,,16,12,192,,,squ_rect,192,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
L1764-10b,L1764,10,0.163934426,L,1764,X,O,X,1,0.287681822,1.3,1,(3) Deux ttes d'Hommes; Paysage & Ruine,Anonymous,0,n/a,not specified,Unknown,,,,,16,12,192,,,squ_rect,192,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
L1764-10c,L1764,10,0.163934426,L,1764,X,O,X,1,0.287681822,1.3,1,(3) Deux ttes d'Hommes; Paysage & Ruine,Anonymous,0,n/a,not specified,Unknown,,,,,16,12,192,,,squ_rect,192,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
L1764-11,L1764,11,0.180327869,L,1764,X,O,D/FL,1,2.48490665,12,1,Saint Martin de Boulogne,"study of Dyck, Sir Anthony van",0,study of,tude de Wandeik,Unknown,,,,,20,16,320,,,squ_rect,320,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
L1764-12a,L1764,12,0.196721311,L,1764,D/FL,O,D/FL,1,4.605170186,100,1,(2) Paysages & Figures,"Uden, Lucas van",0,n/a,Wannuden,Unknown,,,,,14,22,308,,,squ_rect,308,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-12b,L1764,12,0.196721311,L,1764,D/FL,O,D/FL,1,4.605170186,100,1,(2) Paysages & Figures,"Uden, Lucas van",0,n/a,Wannuden,Unknown,,,,,14,22,308,,,squ_rect,308,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-13a,L1764,13,0.213114754,L,1764,D/FL,O,D/FL,1,2.48490665,12,1,"(2) Figures, paysages & animaux",Bredael Family,0,n/a,Wenbreda,Unknown,,,,,15,20,300,,,squ_rect,300,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-13b,L1764,13,0.213114754,L,1764,D/FL,O,D/FL,1,2.48490665,12,1,"(2) Figures, paysages & animaux",Bredael Family,0,n/a,Wenbreda,Unknown,,,,,15,20,300,,,squ_rect,300,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-14,L1764,14,0.229508197,L,1764,F,O,F,1,2.48490665,12,1,,"La Hire, Jean Nicolas de",0,n/a,Lahyre le fils,Unknown,,,,,37,44,1628,,,squ_rect,1628,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-15,L1764,15,0.245901639,L,1764,X,O,F,1,1.791759469,6,1,Renaud & Armide,copy after Boullogne Family,0,copy after,copi d'aprs Boulogne,Unknown,,,,,36,48,1728,,,squ_rect,1728,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L1764-16a,L1764,16,0.262295082,L,1764,I,O,I,1,2.48490665,12,1,(2) Fleurs & Fruits,"Nuzzi (Mario dei Fiori), Mario",0,n/a,Mario del Fiory,Unknown,,,,,27,36,972,,,squ_rect,972,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L1764-16b,L1764,16,0.262295082,L,1764,I,O,I,1,2.48490665,12,1,(2) Fleurs & Fruits,"Nuzzi (Mario dei Fiori), Mario",0,n/a,Mario del Fiory,Unknown,,,,,27,36,972,,,squ_rect,972,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L1764-17,L1764,17,0.278688525,L,1764,D/FL,O,D/FL,1,2.48490665,12,1,La Reniement de Saint Pierre,Ouks,0,n/a,Ouks (Gonzales Coques?),Unknown,,,,,44,60,2640,,,squ_rect,2640,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-18a,L1764,18,0.295081967,L,1764,D/FL,O,D/FL,1,5.752572639,315,1,"(2) Paysages, Ruines & Figures","Miel, Jan",0,n/a,Jean Miel,Unknown,,,,,22,27,594,,,squ_rect,594,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-18b,L1764,18,0.295081967,L,1764,D/FL,O,D/FL,1,5.752572639,315,1,"(2) Paysages, Ruines & Figures","Miel, Jan",0,n/a,Jean Miel,Unknown,,,,,22,27,594,,,squ_rect,594,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-21a,L1764,21,0.344262295,L,1764,X,O,F,1,0.182321557,1.2,1,(5) les Batailles d'Alexandre,"after Le Brun, Charles",0,after,"d'aprs Charles le Brun, impression de Goyton",Unknown,,,,,,,,,,squ_rect,,estampes colles sur toile,p,other,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L1764-21b,L1764,21,0.344262295,L,1764,X,O,F,1,0.182321557,1.2,1,(5) les Batailles d'Alexandre,"after Le Brun, Charles",0,after,"d'aprs Charles le Brun, impression de Goyton",Unknown,,,,,,,,,,squ_rect,,estampes colles sur toile,p,other,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L1764-21c,L1764,21,0.344262295,L,1764,X,O,F,1,0.182321557,1.2,1,(5) les Batailles d'Alexandre,"after Le Brun, Charles",0,after,"d'aprs Charles le Brun, impression de Goyton",Unknown,,,,,,,,,,squ_rect,,estampes colles sur toile,p,other,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L1764-21d,L1764,21,0.344262295,L,1764,X,O,F,1,0.182321557,1.2,1,(5) les Batailles d'Alexandre,"after Le Brun, Charles",0,after,"d'aprs Charles le Brun, impression de Goyton",Unknown,,,,,,,,,,squ_rect,,estampes colles sur toile,p,other,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L1764-21d,L1764,21,0.344262295,L,1764,X,O,F,1,0.182321557,1.2,1,(5) les Batailles d'Alexandre,"after Le Brun, Charles",0,after,"d'aprs Charles le Brun, impression de Goyton",Unknown,,,,,,,,,,squ_rect,,estampes colles sur toile,p,other,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L1764-22,L1764,22,0.360655738,L,1764,X,O,I,1,4.077537444,59,1,une Sainte Famille,"after Sarto, Andrea del",0,after,d'aprs Andr Delsarie,Unknown,,,,,42,30,1260,,,squ_rect,1260,bois,b,wood,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-23,L1764,23,0.37704918,L,1764,X,O,F,1,3.583518938,36,1,Louis XIV,"copy after Rigaud, Hyacinthe",0,copy after,copie d'aprs Rigault,Unknown,,,,,30,24,720,,,squ_rect,720,toile ovale,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
L1764-24,L1764,24,0.393442623,L,1764,I,O,I,1,3.713572067,41,1,"la Renomme, accompagne des Arts","Romanelli, Giovanni Francesco",0,n/a,Romanelly,Unknown,,,,,66,54,3564,,,squ_rect,3564,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L1764-25,L1764,25,0.409836066,L,1764,X,O,F,1,1.791759469,6,1,"femme tenant une flche, un cheval",after Mignard Family,0,after,d'aprs Mignard,Unknown,,,,,,,,,,squ_rect,,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L1764-26a,L1764,26,0.426229508,L,1764,X,O,F,1,1.098612289,3,1,"(4) La Gometrie; Herodias, deux Portraits d'hommes","after Santerre, Jean-Baptiste",0,after,(1) d'aprs Santerre; (2) d'aprs le Guide,Unknown,,,,,,,,,,squ_rect,,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-26b,L1764,26,0.426229508,L,1764,X,O,F,1,1.098612289,3,1,"(4) La Gometrie; Herodias, deux Portraits d'hommes","after Santerre, Jean-Baptiste",0,after,(1) d'aprs Santerre; (2) d'aprs le Guide,Unknown,,,,,,,,,,squ_rect,,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-26c,L1764,26,0.426229508,L,1764,X,O,I,1,1.098612289,3,1,"(4) La Gometrie; Herodias, deux Portraits d'hommes","after Reni, Guido",0,after,(1) d'aprs Santerre; (2) d'aprs le Guide,Unknown,,,,,,,,,,squ_rect,,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-26d,L1764,26,0.426229508,L,1764,X,O,I,1,1.098612289,3,1,"(4) La Gometrie; Herodias, deux Portraits d'hommes","after Reni, Guido",0,after,(1) d'aprs Santerre; (2) d'aprs le Guide,Unknown,,,,,,,,,,squ_rect,,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-27a,L1764,27,0.442622951,L,1764,X,O,F,1,2.788092909,16.3,1,(4) Christ en Croix; Vierge & l'Enfant Jesus; fruits & animaux; Sainte Famille de la Savonerie,"after Le Brun, Charles",0,after,(1) d'aprs le Brun; (2) Dorigny; (4) d'aprs Vouet,Unknown,,,,,,,,,,squ_rect,,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-27b,L1764,27,0.442622951,L,1764,F,O,F,1,2.788092909,16.3,1,(4) Christ en Croix; Vierge & l'Enfant Jesus; fruits & animaux; Sainte Famille de la Savonerie,"Dorigny, Michel",0,n/a,(1) d'aprs le Brun; (2) Dorigny; (4) d'aprs Vouet,Unknown,,,,,,,,,,squ_rect,,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-27c,L1764,27,0.442622951,L,1764,X,O,X,1,2.788092909,16.3,1,(4) Christ en Croix; Vierge & l'Enfant Jesus; fruits & animaux; Sainte Famille de la Savonerie,Anonymous,0,n/a,(1) d'aprs le Brun; (2) Dorigny; (4) d'aprs Vouet,Unknown,,,,,,,,,,squ_rect,,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-27d,L1764,27,0.442622951,L,1764,X,O,F,1,2.788092909,16.3,1,(4) Christ en Croix; Vierge & l'Enfant Jesus; fruits & animaux; Sainte Famille de la Savonerie,"after Vouet, Simon",0,n/a,(1) d'aprs le Brun; (2) Dorigny; (4) d'aprs Vouet,Unknown,,,,,,,,,,squ_rect,,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-29,L1764,29,0.475409836,L,1764,F,O,F,1,5.697093487,298,1,Homme appuy le coude sur une table,"Grimou, Alexis",0,n/a,Jean Grimou,Unknown,,,,,38,30,1140,,,squ_rect,1140,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
L1764-30,L1764,30,0.491803279,L,1764,F,O,F,1,5.480638923,240,1,Homme assis proche une table,"Grimou, Alexis",0,n/a,Jean Grimou,Unknown,,,,,38,30,1140,,,squ_rect,1140,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L1764-31,L1764,31,0.508196721,L,1764,F,O,F,1,6.056784013,427,1,Homme tenant une flutte traversiere,"Grimou, Alexis",0,n/a,Jean Grimou,Unknown,,,,,48,36,1728,,,squ_rect,1728,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
L1764-32,L1764,32,0.524590164,L,1764,F,O,F,1,4.787491743,120,1,Homme habill  l'Espagnol,"Grimou, Alexis",0,n/a,Jean Grimou,Unknown,,,,,33,27,891,,,squ_rect,891,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
L1764-33,L1764,33,0.540983607,L,1764,F,O,F,1,4.143134726,63,1,Homme habill en Espagnol,"sketch of Grimou, Alexis",0,sketch of,esquisse de Grimou,Unknown,,,,,20,17,340,,,squ_rect,340,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
L1764-34,L1764,34,0.557377049,L,1764,F,O,F,1,5.075173815,160,1,Homme cuiraff,"Grimou, Alexis",0,n/a,Jean Grimou,Unknown,,,,,30,24,720,,,squ_rect,720,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
L1764-35,L1764,35,0.573770492,L,1764,F,O,F,1,6.214608098,500,1,Homme habill  l'Espagnol,"Grimou, Alexis",0,n/a,Jean Grimou,Unknown,,,,,48,36,1728,,,squ_rect,1728,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L1764-36,L1764,36,0.590163934,L,1764,F,O,F,1,4.94875989,141,1,Homme envelopp dans son manteau,"Grimou, Alexis",0,n/a,Jean Grimou,Unknown,,,,,30,24,720,,,squ_rect,720,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
L1764-37,L1764,37,0.606557377,L,1764,F,O,F,1,5.828945618,340,1,L'Auteur sous la figure de Bachus,"Grimou, Alexis",0,n/a,Jean Grimou,Unknown,,,,,40,29,1160,,,squ_rect,1160,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
L1764-38,L1764,38,0.62295082,L,1764,F,O,F,1,5.017279837,151,1,Homme cuiraff  demi corps,"Grimou, Alexis",0,n/a,Jean Grimou,Unknown,,,,,22,16,352,,,squ_rect,352,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
L1764-39,L1764,39,0.639344262,L,1764,F,O,F,1,5.010635294,150,1,Jeune homme  demi corps,"Grimou, Alexis",0,n/a,Jean Grimou,Unknown,,,,,40,29,1160,,,squ_rect,1160,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
L1764-40,L1764,40,0.655737705,L,1764,F,O,F,1,5.703782475,300,1,Jeune fille en chemise,"Grimou, Alexis",0,n/a,Jean Grimou,Unknown,,,,,27,22,594,,,squ_rect,594,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
L1764-41,L1764,41,0.672131148,L,1764,X,O,F,1,3.295836866,27,1,Portrait de M. Colbert,"after Mignard (P), Pierre",0,after,d'aprs Mignard,Unknown,,,,,,,,,,squ_rect,,toile ovale,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
L1764-42,L1764,42,0.68852459,L,1764,X,O,X,1,2.197224577,9,1,l'Anatomie grave quart de nature,Anonymous,0,n/a,not specified,Unknown,,,,,,,,,,squ_rect,,pacquet d'estampes colles sur toile,p,other,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-43,L1764,43,0.704918033,L,1764,D/FL,O,D/FL,1,3.871201011,48,1,Homme jouant de la Cornmuse,"Teniers (A), Abraham",0,n/a,Habraam Teniers,Unknown,,,,,22,18,396,,,squ_rect,396,bois,b,wood,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
L1764-44a,L1764,44,0.721311475,L,1764,D/FL,O,D/FL,1,4.219507705,68,1,(2) fruits & animaux morts,"Gryef, Adriaen de",0,n/a,Grif; Jean Linard,Unknown,,,,,17,22,374,,,squ_rect,374,tableaux pendants sur bois,b,wood,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L1764-44b,L1764,44,0.721311475,L,1764,F,O,F,1,4.219507705,68,1,(2) fruits & animaux morts,"Linard, Jacques",0,n/a,Grif; Jean Linard,Unknown,,,,,17,22,374,,,squ_rect,374,tableaux pendants sur bois,b,wood,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
L1764-45a,L1764,45,0.737704918,L,1764,X,O,X,1,3.17805383,24,1,"(2) paysages, orns de figures",Bukley,0,n/a,Bukley,Unknown,,,,,16,21,336,,,squ_rect,336,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-45b,L1764,45,0.737704918,L,1764,X,O,X,1,3.17805383,24,1,"(2) paysages, orns de figures",Bukley,0,n/a,Bukley,Unknown,,,,,16,21,336,,,squ_rect,336,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-46,L1764,46,0.754098361,L,1764,X,O,D/FL,1,2.079441542,8,1,Homme et femme  table,"copy after Teniers II the Younger, David",0,copy after,copie d'aprs Tenieres,Unknown,,,,,14,20,280,,,squ_rect,280,bois,b,wood,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
L1764-47,L1764,47,0.770491803,L,1764,D/FL,O,D/FL,1,3.63758616,38,1,Un choc,"Meulen, Adam Frans van der",0,n/a,Wandermeulen,Unknown,,,,,14,12,168,,,squ_rect,168,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-48a,L1764,48,0.786885246,L,1764,D/FL,O,D/FL,1,3.17805383,24,1,(2) intrieurs d'Eglises,Pitk,0,n/a,Pitk,Unknown,,,,,16,22,352,,,squ_rect,352,tableaux pendants,ta,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
L1764-48b,L1764,48,0.786885246,L,1764,D/FL,O,D/FL,1,3.17805383,24,1,(2) intrieurs d'Eglises,Pitk,0,n/a,Pitk,Unknown,,,,,16,22,352,,,squ_rect,352,tableaux pendants,ta,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
L1764-49a,L1764,49,0.803278689,L,1764,F,O,F,1,2.197224577,9,1,Un bacanal d'enfans,"La Hyre, Laurent de",0,n/a,Laurent de la Hire,Unknown,,,,,9.5,13,123.5,,,squ_rect,123.5,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
L1764-49b,L1764,49,0.803278689,L,1764,F,O,F,1,2.197224577,9,1,Un bacanal d'enfans,"La Hyre, Laurent de",0,n/a,Laurent de la Hire,Unknown,,,,,9.5,13,123.5,,,squ_rect,123.5,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
L1764-50,L1764,50,0.819672131,L,1764,D/FL,O,D/FL,1,3.17805383,24,1,Madame de Montespan,"Cabel, Adriaan van der",0,n/a,Wandercabel,Unknown,,,,,13,17,221,,,squ_rect,221,bois,b,wood,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
L1764-51,L1764,51,0.836065574,L,1764,I,O,I,1,3.583518938,36,1,Notre Seigneur dans le Tombeau,"Sacchi, Andrea",0,n/a,Andr Zachi,Unknown,,,,,10,13.5,135,,,squ_rect,135,bois,b,wood,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-52,L1764,52,0.852459016,L,1764,I,O,I,1,2.197224577,9,1,le Lever du Soleil,"Romanelli, Giovanni Francesco",0,advanced by,avanc par Romanelly,Unknown,,,,,20,36,720,,,squ_rect,720,toile ou esquisse,t,canvas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
L1764-53,L1764,53,0.868852459,L,1764,D/FL,O,D/FL,1,3.610917913,37,1,le Temple des Arts,"Balen I (H), Hendrik van",0,n/a,Wanbalen,Unknown,,,,,18.5,24,444,,,squ_rect,444,cuivre,c,copper,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-54,L1764,54,0.885245902,L,1764,D/FL,O,D/FL,1,3.583518938,36,1,des Seigneurs qui lisent,"Quellinus II (E), Erasmus",0,n/a,Quinlinus,Unknown,,,,,15.5,20.5,317.75,,,squ_rect,317.75,toile,t,canvas,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1764-55a,L1764,55,0.901639344,L,1764,F,O,F,1,3.17805383,24,1,(2) l'enlvement d'Europe; la Mort de Tancrede,"Loir, Nicolas-Pierre",0,n/a,Nicolas Loir,Unknown,,,,,12.5,16,200,,,squ_rect,200,toile,t,canvas,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
